 ;;IDADE;;;;;RENDA;;;;;;
;TOTAL;16 A 24 ANOS;25 A 34 ANOS;35 A 44 ANOS;45 A 59 ANOS;60 ANOS OU MAIS;ATÉ          1 SM;DE 1 ATÉ 2 SM;ACIMA DE 2 ATÉ 5 SM;ACIMA DE 5 SM;NS/NR;;
BASE;100%;18%;23%;22%;22%;14%;55%;29%;8%;3%;5%;;
João da Costa;22%;30%;20%;20%;22%;19%;21%;22%;36%;30%;14%;;
Mendonça Filho;16%;14%;18%;17%;15%;15%;16%;17%;17%;15%;5%;;
Daniel Coelho;5%;8%;5%;5%;3%;6%;5%;6%;8%;0%;0%;;
Raul Henry;4%;5%;4%;5%;3%;3%;4%;7%;2%;0%;0%;;
Raul Jungmann;4%;3%;4%;3%;6%;0%;3%;4%;8%;5%;5%;;
Fernando Bezerra Coelho;1%;0%;1%;1%;1%;1%;0%;1%;0%;5%;0%;;
Branco/Nulo;37%;30%;34%;43%;40%;37%;38%;35%;28%;45%;57%;;
NS/NR;11%;9%;13%;7%;9%;18%;13%;8%;2%;0%;19%;;
;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;;
;; ; ;Faixa etária:;;;;;Renda Individual:;;;;
João da Costa;22,1%;;João da Costa;30,34482759;20,21276596;19,7740113;21,54696133;19,13043478;20,62780269;21,61016949;35,9375;30;14,28571429
Mendonça Filho;15,9%;;Mendonça Filho;13,79310345;18,08510638;16,94915254;15,46961326;14,7826087;16,14349776;17,37288136;17,1875;15;4,761904762
Daniel Coelho;5,3%;Se a eleição para prefeito do Recife fosse hoje, e os candidatos fossem estes, em qual deles você votaria? (ESTIMULADA) CENÁRIO 4;Daniel Coelho;8,275862069;5,319148936;4,519774011;3,314917127;6,086956522;5,381165919;5,93220339;7,8125;0;0
Raul Henry;4,2%;;Raul Henry;4,827586207;4,255319149;5,084745763;3,314917127;3,47826087;3,587443946;7,203389831;1,5625;0;0
Raul Jungmann;3,7%;;Raul Jungmann;3,448275862;4,255319149;3,389830508;6,077348066;0;2,914798206;3,813559322;7,8125;5;4,761904762
Fernando Bezerra Coelho;0,7%;;Fernando Bezerra Coelho;0;1,063829787;0,564971751;1,104972376;0,869565217;0,448430493;1,271186441;0;5;0
Em branco/Nulo;37,2%;;Em branco/Nulo;30,34482759;34,04255319;42,93785311;40,33149171;37,39130435;37,66816143;34,74576271;28,125;45;57,14285714
NS/NR;10,8%;;NS/NR;8,965517241;12,76595745;6,779661017;8,839779006;18,26086957;13,22869955;8,050847458;1,5625;0;19,04761905
