 ;;IDADE;;;;;RENDA;;;;;;
;TOTAL;16 A 24 ANOS;25 A 34 ANOS;35 A 44 ANOS;45 A 59 ANOS;60 ANOS OU MAIS;ATÉ          1 SM;DE 1 ATÉ 2 SM;ACIMA DE 2 ATÉ 5 SM;ACIMA DE 5 SM;NS/NR;;
BASE;100%;18%;23%;22%;22%;14%;55%;29%;8%;3%;5%;;
João da Costa;32%;28%;20%;19%;20%;17%;18%;21%;36%;30%;12%;;
Mendonça Filho;9%;16%;18%;19%;16%;15%;18%;18%;17%;15%;5%;;
Daniel Coelho;6%;7%;5%;3%;2%;4%;4%;6%;5%;0%;0%;;
Raul Henry;6%;4%;4%;5%;3%;3%;3%;6%;2%;0%;0%;;
Raul Jungmann;7%;4%;4%;3%;6%;0%;3%;4%;6%;5%;5%;;
Silvio Costa Filho;2%;2%;1%;2%;3%;2%;2%;2%;2%;0%;2%;;
Paulo Rubem Santiago;0%;0%;2%;1%;3%;1%;1%;1%;3%;5%;5%;;
Branco/Nulo;38%;30%;36%;43%;39%;41%;39%;34%;28%;45%;52%;;
NS/NR;10%;9%;11%;5%;9%;17%;11%;8%;2%;0%;19%;;
;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;;
;; ; ;Faixa etária:;;;;;Renda Individual:;;;;
;;;;De 16 a 24;De 25 a 34;De 35 a 44;De 45 a 59;60 ou mais;Até 1 SM;De 1 até 2 SM;Acima de 2 até 5 SM;Acima de 5 SM;NS/NR
João da Costa;20,7%;;João da Costa;27,5862069;20,21276596;18,6440678;19,66292135;17,39130435;18,46846847;21,27659574;35,9375;30;11,9047619
Mendonça Filho;17,0%;;Mendonça Filho;15,86206897;18,08510638;19,20903955;16,29213483;14,7826087;17,56756757;18,29787234;17,1875;15;4,761904762
Daniel Coelho;4,1%;Se a eleição para prefeito do Recife fosse hoje, e os candidatos fossem estes, em qual deles você votaria? (ESTIMULADA) CENÁRIO 1;Daniel Coelho;6,896551724;4,787234043;3,389830508;1,685393258;4,347826087;3,828828829;5,531914894;4,6875;0;0
Raul Henry;3,6%;;Raul Henry;4,137931034;3,723404255;4,519774011;2,808988764;2,608695652;3,153153153;5,957446809;1,5625;0;0
Raul Jungmann;3,6%;;Raul Jungmann;4,137931034;3,723404255;3,389830508;5,617977528;0;2,702702703;4,255319149;6,25;5;4,761904762
Silvio Costa Filho;2,0%;;Silvio Costa Filho;2,068965517;0,531914894;2,259887006;3,370786517;1,739130435;2,252252252;1,70212766;1,5625;0;2,380952381
;1,5%;;Paulo Rubem Santiago;0;2,127659574;1,129943503;2,808988764;0,869565217;1,126126126;0,85106383;3,125;5;4,761904762
Em branco/Nulo;37,7%;;Em branco/Nulo;30,34482759;35,63829787;42,93785311;38,76404494;40,86956522;39,41441441;34,04255319;28,125;45;52,38095238
NS/NR;9,8%;;NS/NR;8,965517241;11,17021277;4,519774011;8,988764045;17,39130435;11,48648649;8,085106383;1,5625;0;19,04761905
