 ;;IDADE;;;;;RENDA;;;;;;
;TOTAL;16 A 24 ANOS;25 A 34 ANOS;35 A 44 ANOS;45 A 59 ANOS;60 ANOS OU MAIS;ATÉ          1 SM;DE 1 ATÉ 2 SM;ACIMA DE 2 ATÉ 5 SM;ACIMA DE 5 SM;NS/NR;;
BASE;100%;18%;23%;22%;22%;14%;55%;29%;8%;3%;5%;;
João Paulo;48,5%;47%;48%;46%;51%;48%;50%;49%;41%;45%;33%;;
Raul Jungmann;5%;6%;5%;7%;5%;1%;3%;6%;8%;10%;12%;;
Daniel Coelho;5%;6%;8%;2%;3%;4%;6%;3%;5%;5%;0%;;
Silvio Costa Filho;3%;4%;3%;4%;2%;2%;2%;3%;5%;10%;2%;;
Priscila Krause;2%;2%;2%;2%;2%;2%;2%;3%;2%;0%;0%;;
Branco/Nulo;31%;31%;27%;34%;30%;32%;31%;29%;30%;25%;43%;;
NS/NR;7%;5%;8%;6%;7%;11%;7%;6%;11%;5%;10%;;
;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;;
;; ; ;Faixa etária:;;;;;Renda Individual:;;;;
;;;;De 16 a 24;De 25 a 34;De 35 a 44;De 45 a 59;60 ou mais;Até 1 SM;De 1 até 2 SM;Acima de 2 até 5 SM;Acima de 5 SM;NS/NR
João Paulo;47,8%;;João Paulo;46,52777778;47,61904762;45,50561798;50,82872928;47,82608696;49,77578475;48,72881356;40,625;45;33,33333333
Raul Jungmann;4,9%;;Raul Jungmann;5,555555556;5,291005291;6,741573034;4,972375691;0,869565217;3,139013453;5,93220339;7,8125;10;11,9047619
Daniel Coelho;4,6%;Se a eleição para prefeito do Recife fosse hoje, e os candidatos fossem estes, em qual deles você votaria? (ESTIMULADA) CENÁRIO 6;Daniel Coelho;5,555555556;7,936507937;1,685393258;3,314917127;4,347826087;5,605381166;3,389830508;4,6875;5;0
Silvio Costa Filho;3,0%;;Silvio Costa Filho;4,166666667;2,645502646;3,93258427;2,209944751;1,739130435;2,242152466;3,389830508;4,6875;10;2,380952381
Priscila Krause;2,0%;;Priscila Krause;2,083333333;1,587301587;2,247191011;2,209944751;1,739130435;1,793721973;2,966101695;1,5625;0;0
Em branco/Nulo;30,6%;;Em branco/Nulo;31,25;26,98412698;34,26966292;29,83425414;32,17391304;30,71748879;29,23728814;29,6875;25;42,85714286
NS/NR;7,2%;;NS/NR;4,861111111;7,936507937;5,617977528;6,629834254;11,30434783;6,726457399;6,355932203;10,9375;5;9,523809524
